original_file,size_of_file,retain_data,loss_in_data,encrpyt_time,decrypt_time
feeling_too_tall.png,42386,100,0,3.121,6.875
forest-mountains-sunset-cool-weather-minimalism-yn-2048x1152.jpg,116201,100,0,17.65,45.234
freakazoid.png,46695,100,0,3.693,8.232
FreeVector-Night-Vector-Landscape.jpg,82157,100,0,9.452,23.333
Friendship.png,31385,100,0,2.016,4.044
gears2.png,68247,100,0,6.857,16.387
Glasses.png,34415,100,0,2.28,4.735
900-Night-l.jpg,125814,100,0,20.727,52.587
900-Tom-Cat-l.jpg,180997,100,0,40.799,106.991
Above Clouds iPhone Wallpaper.jpg,95095,100,0,12.28,30.72
arun thakur giveaway (15).jpg,144516,100,0,26.535,68.928
arun thakur giveaway (20).jpg,155168,100,0,30.246,79.108
arun thakur giveaway (29).png,156583,100,0,30.744,80.553
arun thakur giveaway (5).jpg,152033,100,0,29.023,75.975
arun06.png,174431,100,0,37.707,99.377
asuka-langley-soryu-anime-mobile-wallpaper-1080x1920-13770-1707083216.jpg,169347,100,0,35.712,93.773
backtoskool.png,89533,100,0,11.013,27.484
beach-in-greece-beach-mobile-wallpaper-1080x1920-3798-2687899430.jpg,186020,100,0,42.666,113.077
Curious Cat Sneaking Up iPhone 6 Wallpaper.jpg,51836,100,0,4.336,9.911
glossglockner - Copy.jpg,188320,100,0,43.57,115.141
iOS 8 Planet Earth iPhone 5 Wallpaper.png,95328,100,0,12.339,31.048
Noir.png,77092,100,0,8.471,20.693
PicsArt_05-31-06.18.30 - Copy.jpg,180324,100,0,40.213,106.116
portraits 4k app walls (16).jpg,86872,100,0,10.476,25.946
portraits 4k app walls (5).jpg,196685,100,0,47.468,125.551
rosie_2560_1600.png,71563,100,0,7.556,17.957
iron-man-comic-mobile-wallpaper-1080x1920-7432-3111010732.jpg,125806,100,0,20.505,52.747
Iron_Man.png,175009,100,0,37.977,99.944
I_think_I_wanna_MARRY_YOU.png,79549,100,0,8.956,21.977
jerrygarcia_2880x1800.png,58135,100,0,5.242,12.221
ketchupmustard.png,22546,100,0,1.314,2.31
lilreaperIMG.png,157898,100,0,31.275,81.862
liveatpompeii.png,70521,100,0,7.278,17.499
lowdesktop-01.png,22809,100,0,1.351,2.363
material2.jpg,189169,100,0,43.962,116.373
mike.png,44043,100,0,3.356,7.364
minipop_life_aquatic_wallpaper.png,48544,100,0,3.982,8.789
motorbike_wallpaper.png,82897,100,0,9.647,23.735
mushroom_desk.png,49624,100,0,4.044,9.134
octopus.png,56072,100,0,4.911,11.41
omnisphere.png,123676,100,0,19.837,51.047
owlsimple.png,79341,100,0,8.898,21.872
papers.co-ab55-wallpaper-batman-logo-dark-shattered-iphone-6-plus.jpg,45839,100,0,3.563,7.905
papers.co-af29-lamborghini-huracan-lp-black-dark-iphone-6-plus.jpg,50578,100,0,4.185,9.441
papers.co-af61-art-sunset-anime-afternoon-iphone-6-plus.jpg,163419,100,0,33.315,87.574
papers.co-md56-space-travel-galaxy-iphone-6-plus.jpg,112369,100,0,16.67,42.318
Piano.jpg,102364,100,0,14.038,35.518
Polaroid.png,167827,100,0,35.108,92.183
portraits 4k app walls (11).png,64089,100,0,6.223,14.635
portraits 4k app walls (13).jpg,42294,100,0,3.143,6.828
runDMC.png,99835,100,0,13.414,33.839
scanning.png,177087,100,0,38.924,102.085
simpledesktops.png,95707,100,0,12.441,31.102
simple_desktop.png,102385,100,0,14.041,35.551
sneak_desktop-01.png,41512,100,0,3.044,6.638
SNES.png,47785,100,0,3.837,8.513
Space.png,170110,100,0,35.983,94.586
Subtle_Ocean.jpg,77546,100,0,8.57,20.916
summer-treat.png,45660,100,0,3.547,7.887
sunset.png,33093,100,0,2.195,4.423
The-Dark-Knight.png,35793,100,0,2.445,5.104
THESUIT_wallpaper.png,28480,100,0,1.795,3.425
The_Amazing_Spider-Man_Wallpaper_8_1024-003.jpg,40217,100,0,2.959,6.265
the_man_simpledekstops.png,64693,100,0,6.28,14.859
up.png,36754,100,0,2.532,5.311
wallhaven-527211.jpg,37163,100,0,2.583,5.428
wallpaper.jpg,157720,100,0,31.247,81.398
Wall_Fables_I.png,76495,100,0,8.387,20.682
Wall_Fables_IIII.png,68522,100,0,6.965,16.727
war.png,180619,100,0,40.307,106.002
whirling_dervish01.png,145622,100,0,26.925,69.97
winter-deer.png,55912,100,0,4.905,11.355
arcade2650x1600.png,38960,100,0,2.771,5.889
arun thakur (1).jpeg,173081,100,0,37.427,97.679
arun thakur (2).jpg,183047,100,0,41.33,109.208
arun thakur giveaway (1).jpg,143795,100,0,26.283,68
arun thakur giveaway (22).png,96688,100,0,12.676,31.77
arun thakur giveaway (24).jpg,171312,100,0,36.455,95.846
arun thakur giveaway (16).jpg,105574,100,0,14.833,37.518
arun thakur giveaway (17).jpg,188547,100,0,43.76,115.341
arun thakur giveaway (18).jpg,134740,100,0,23.309,60.05
arun thakur giveaway (7).jpg,126831,100,0,20.799,53.624
arun thakur giveaway (36).png,74895,100,0,8.077,19.603
arun thakur giveaway (37).png,197764,100,0,47.977,126.578
arun thakur giveaway (38).png,119204,100,0,18.641,47.474
