,original_file,size_of_file,resolution,retain_data,loss_in_data,encrpyt_time,decrypt_time
83,900-War-Text-Quote-l.jpg,187947,900 x 1600,100,0,44.221000000000004,116.965
84,A Sky Full Of Stars iPhone 6 Wallpaper - Copy.jpg,177655,750 x 1334,100,0,42.36600000000001,106.053
85,Abduction.png,50932,2560 x 1600,100,0,4.428999999999999,9.994
86,2.jpeg,5725,225 x 225,100,0,0.46799999999999997,0.402
87,2014 - 1 (1).jpg,97480,640 x 866,100,0,14.350999999999999,32.532
88,2015 - 1 (2).png,183155,600 x 900,100,0,41.678999999999995,111.70700000000001
89,2015 - 1 (3).jpg,162915,1024 x 1555,100,0,45.071000000000005,86.927
90,2015 - 1 (6).jpg,105584,800 x 1143,100,0,14.825,37.67
91,2015 - 1 (7).jpg,110182,688 x 1044,100,0,16.012999999999998,40.815
92,2015 - 11.jpg,180210,917 x 1300,100,0,40.109,106.025
93,2015 - 5.jpg,58015,715 x 1117,100,0,5.186,12.175
94,2015 - 6.jpg,104290,561 x 864,100,0,14.485999999999999,36.704
95,2015 - 7.jpg,185367,1280 x 1759,100,0,42.312,111.79700000000001
96,2015 - 9.jpg,125806,1080 x 1920,100,0,20.517,52.773
97,Balboa.png,91486,2560 x 1600,100,0,11.437000000000001,28.616
98,Bambu.png,120546,2560 x 1600,100,0,18.895,48.507
99,bane_by_saadirfan-d5do7qt.jpg,157229,782 x 1022,100,0,30.965999999999998,81.16199999999999
100,Bang.png,103836,2560 x 1600,100,0,14.380999999999998,36.431999999999995
101,Barb-D (14).jpg,24588,720 x 1280,100,0,1.4380000000000002,2.6719999999999997
102,Barb-downloads (1).jpg,146243,720 x 1280,100,0,27.026999999999997,70.589
103,batman-19023-1080x1920.jpg,134861,1080 x 1920,100,0,23.253,60.107
104,batman.jpeg,85746,652 x 927,100,0,10.172,25.285
105,battery_life_cycle_wallpaper.jpg,114946,1080 x 1920,100,0,17.354,44.188
106,bridge.png,70998,2560 x 1600,100,0,7.3,17.738
107,buzz-paper.png,18578,2560 x 1600,100,0,1.023,1.704
108,Che.png,60222,2560 x 1600,100,0,5.526,13.049000000000001
109,cow.png,87280,2560 x 1600,100,0,10.527999999999999,26.156
110,crane2_copy.png,62132,2560 x 1600,100,0,5.807,13.8
111,day_by_day.png,46320,2560 x 1600,100,0,3.5980000000000003,8.055
112,destiny.jpg,201050,1920 x 1080,100,0,49.44,131.151
113,Dont Let Go Illustration iPhone 6 Plus HD Wallpaper - Copy.jpg,112937,1242 x 2208,100,0,16.756,42.848
114,DQ4ajkq.jpg,148613,908 x 1280,100,0,27.91,72.89
115,elefanto_wallpaper.png,57898,2880 x 1800,100,0,5.206,12.114
116,feeling_too_tall.png,42386,2560 x 1600,100,0,3.1210000000000004,6.875
117,forest-mountains-sunset-cool-weather-minimalism-yn-2048x1152.jpg,116201,2048 x 1152,100,0,17.65,45.233999999999995
118,freakazoid.png,46695,2560 x 1600,100,0,3.693,8.232000000000001
119,FreeVector-Night-Vector-Landscape.jpg,82157,1024 x 765,100,0,9.452,23.333000000000002
120,Friendship.png,31385,2560 x 1600,100,0,2.016,4.044
121,gears2.png,68247,2560 x 1600,100,0,6.857,16.387
122,Glasses.png,34415,2880 x 1800,100,0,2.28,4.735
123,900-Night-l.jpg,125814,900 x 1600,100,0,20.726999999999997,52.586999999999996
124,900-Tom-Cat-l.jpg,180997,900 x 1600,100,0,40.799,106.991
125,Above Clouds iPhone Wallpaper.jpg,95095,640 x 1136,100,0,12.28,30.72
126,arun thakur giveaway (15).jpg,144516,730 x 1095,100,0,26.535,68.928
127,arun thakur giveaway (20).jpg,155168,1080 x 1920,100,0,30.246,79.108
128,arun thakur giveaway (29).png,156583,1080 x 1920,100,0,30.744,80.553
129,arun thakur giveaway (5).jpg,152033,1080 x 1920,100,0,29.023000000000003,75.975
130,arun06.png,174431,1080 x 1920,100,0,37.707,99.37700000000001
131,asuka-langley-soryu-anime-mobile-wallpaper-1080x1920-13770-1707083216.jpg,169347,1080 x 1920,100,0,35.711999999999996,93.773
132,backtoskool.png,89533,2560 x 1600,100,0,11.013,27.484
133,beach-in-greece-beach-mobile-wallpaper-1080x1920-3798-2687899430.jpg,186020,1080 x 1920,100,0,42.666000000000004,113.07700000000001
134,Curious Cat Sneaking Up iPhone 6 Wallpaper.jpg,51836,750 x 1334,100,0,4.336,9.911
135,glossglockner - Copy.jpg,188320,1440 x 2560,100,0,43.57,115.141
136,iOS 8 Planet Earth iPhone 5 Wallpaper.png,95328,640 x 1136,100,0,12.339,31.048000000000002
137,Noir.png,77092,2560 x 1600,100,0,8.471,20.693
138,PicsArt_05-31-06.18.30 - Copy.jpg,180324,576 x 1024,100,0,40.213,106.116
139,portraits 4k app walls (16).jpg,86872,720 x 1280,100,0,10.475999999999999,25.945999999999998
140,portraits 4k app walls (5).jpg,196685,1440 x 2560,100,0,47.468,125.551
141,rosie_2560_1600.png,71563,2560 x 1600,100,0,7.556,17.957
142,iron-man-comic-mobile-wallpaper-1080x1920-7432-3111010732.jpg,125806,1080 x 1920,100,0,20.505,52.747
143,Iron_Man.png,175009,2880 x 1800,100,0,37.977,99.944
144,I_think_I_wanna_MARRY_YOU.png,79549,2880 x 1800,100,0,8.956,21.976999999999997
145,jerrygarcia_2880x1800.png,58135,2880 x 1800,100,0,5.242000000000001,12.220999999999998
146,ketchupmustard.png,22546,2880 x 1800,100,0,1.314,2.31
147,lilreaperIMG.png,157898,2880 x 1800,100,0,31.275,81.862
148,liveatpompeii.png,70521,2880 x 1800,100,0,7.278,17.499000000000002
149,lowdesktop-01.png,22809,2560 x 1600,100,0,1.351,2.363
150,material2.jpg,189169,2560 x 1600,100,0,43.961999999999996,116.37299999999999
151,mike.png,44043,2560 x 1600,100,0,3.3560000000000003,7.364
152,minipop_life_aquatic_wallpaper.png,48544,2880 x 1800,100,0,3.9819999999999998,8.789
153,motorbike_wallpaper.png,82897,2880 x 1800,100,0,9.647,23.735
154,mushroom_desk.png,49624,2880 x 1800,100,0,4.044,9.134
155,octopus.png,56072,2560 x 1600,100,0,4.9110000000000005,11.41
156,omnisphere.png,123676,2560 x 1600,100,0,19.837,51.047
157,owlsimple.png,79341,2880 x 1800,100,0,8.898,21.872
158,papers.co-ab55-wallpaper-batman-logo-dark-shattered-iphone-6-plus.jpg,45839,1152 x 2048,100,0,3.563,7.905
159,papers.co-af29-lamborghini-huracan-lp-black-dark-iphone-6-plus.jpg,50578,1152 x 2048,100,0,4.185,9.441
160,papers.co-af61-art-sunset-anime-afternoon-iphone-6-plus.jpg,163419,1152 x 2048,100,0,33.315,87.574
161,papers.co-md56-space-travel-galaxy-iphone-6-plus.jpg,112369,1080 x 1920,100,0,16.67,42.318000000000005
162,Piano.jpg,102364,1600 x 900,100,0,14.038,35.518
163,Polaroid.png,167827,2880 x 1800,100,0,35.108000000000004,92.18299999999999
164,portraits 4k app walls (11).png,64089,720 x 1280,100,0,6.223,14.635
165,portraits 4k app walls (13).jpg,42294,1152 x 2048,100,0,3.1430000000000002,6.827999999999999
166,runDMC.png,99835,2560 x 1600,100,0,13.414000000000001,33.839
167,scanning.png,177087,2880 x 1800,100,0,38.924,102.085
168,simpledesktops.png,95707,2560 x 1600,100,0,12.440999999999999,31.101999999999997
169,simple_desktop.png,102385,2560 x 1600,100,0,14.040999999999999,35.551
170,sneak_desktop-01.png,41512,2560 x 1600,100,0,3.0439999999999996,6.638
171,SNES.png,47785,2560 x 1600,100,0,3.8369999999999997,8.513
172,Space.png,170110,2880 x 1800,100,0,35.983000000000004,94.586
173,Subtle_Ocean.jpg,77546,2880 x 1800,100,0,8.57,20.916
174,summer-treat.png,45660,2880 x 1800,100,0,3.5469999999999997,7.8870000000000005
175,sunset.png,33093,2560 x 1600,100,0,2.195,4.423
176,The-Dark-Knight.png,35793,2560 x 1600,100,0,2.445,5.104
177,THESUIT_wallpaper.png,28480,2880 x 1800,100,0,1.795,3.425
178,The_Amazing_Spider-Man_Wallpaper_8_1024-003.jpg,40217,719 x 1050,100,0,2.9589999999999996,6.265
179,the_man_simpledekstops.png,64693,2880 x 1800,100,0,6.28,14.859000000000002
180,up.png,36754,2560 x 1600,100,0,2.532,5.311
181,wallhaven-527211.jpg,37163,1920 x 1080,100,0,2.583,5.428
182,wallpaper.jpg,157720,2880 x 1800,100,0,31.247,81.398
183,Wall_Fables_I.png,76495,2560 x 1600,100,0,8.387,20.682
184,Wall_Fables_IIII.png,68522,2560 x 1600,100,0,6.965,16.727
185,war.png,180619,2560 x 1600,100,0,40.306999999999995,106.00200000000001
186,whirling_dervish01.png,145622,2560 x 1600,100,0,26.925,69.97
187,winter-deer.png,55912,2560 x 1600,100,0,4.905,11.355
188,arcade2650x1600.png,38960,2560 x 1600,100,0,2.7710000000000004,5.888999999999999
189,arun thakur (1).jpeg,173081,1080 x 1920,100,0,37.427,97.679
190,arun thakur (2).jpg,183047,1728 x 3072,100,0,41.33,109.208
191,arun thakur giveaway (1).jpg,143795,564 x 1001,100,0,26.283,68.0
192,arun thakur giveaway (22).png,96688,1080 x 1920,100,0,12.675999999999998,31.77
193,arun thakur giveaway (24).jpg,171312,720 x 1280,100,0,36.455,95.846
194,arun thakur giveaway (16).jpg,105574,1080 x 1920,100,0,14.833,37.518
195,arun thakur giveaway (17).jpg,188547,1080 x 1920,100,0,43.76,115.34100000000001
196,arun thakur giveaway (18).jpg,134740,1080 x 1920,100,0,23.309,60.05
197,arun thakur giveaway (7).jpg,126831,750 x 1334,100,0,20.799,53.623999999999995
198,arun thakur giveaway (36).png,74895,1080 x 1920,100,0,8.077,19.602999999999998
199,arun thakur giveaway (37).png,197764,1080 x 1920,100,0,47.977,126.57799999999999
200,arun thakur giveaway (38).png,119204,1080 x 1920,100,0,18.641,47.474
